from,to,distance
0,1,0.21890345312038265
0,2,0.7190284194485961
0,3,0.9788358489198036
0,4,1.1322628554308467
0,5,1.3756771708971052
0,6,1.6843477334537722
0,7,1.8461707730394274
0,8,1.9146364053696294
0,9,2.1624776080269505
0,10,2.442080125759966
0,11,2.6815812249469775
0,12,2.4089485998245546
0,13,2.7658630396218506
0,14,2.9502179242849573
0,15,3.3749133676070535
0,16,3.8007344032615804
0,17,4.245536118019454
0,18,4.46005103020669
0,19,4.817431647126592
0,20,5.217544311724976
0,21,6.021605159188888
0,22,6.385167510517816
0,23,6.685823964441782
0,24,6.850251911886805
0,25,7.128084364367252
0,26,7.440740836476762
0,27,7.636278430920345
0,28,7.896234811965754
0,29,8.305528466924379
0,30,8.246982238607373
0,31,8.12543566307814
0,32,7.970720903060043
0,33,8.141453388197482
0,34,8.43825775079994
0,35,8.642258382228956
0,36,9.009558679133992
0,37,8.731257521291678
0,38,8.27543008454175
0,39,7.849344597311979
0,40,7.532261848485474
0,41,7.4183485620116905
0,42,7.080488005621611
0,43,6.84550589484647
0,44,6.6598225755610745
0,45,6.346953601720549
0,46,5.98037302848844
0,47,5.476004894340957
0,48,5.1462089430608415
0,49,4.791834551798691
0,50,4.393762920615988
0,51,4.279297994940814
0,52,3.8678819636492734
0,53,3.480218009826641
0,54,2.9570635829476912
0,55,2.7691649123453153
0,56,2.3971278226850323
0,57,2.3715826790185734
0,58,2.59677026825567
0,59,2.5775493186738574
0,60,2.3201636469152542
0,61,1.9393544387524233
0,62,1.8785023030436825
0,63,1.6793411377761767
0,64,1.4014915889431432
0,65,1.0644655964062735
0,66,0.9827365226921037
0,67,0.7124018600044405
0,68,0.26480463117051367
0,69,0.024427649203917417
0,70,2.714592098315892
0,71,2.4366480550551675
0,72,10.162136029399148
0,73,10.356470356585952
0,74,10.551622093354668
0,75,10.007352878137347
0,76,9.785238604559247
0,77,9.617923593704827
0,78,9.401104583693428
0,79,9.23361811166872
0,80,8.644916849768961
0,81,8.209164206981304
0,82,7.917780239419147
0,83,7.508793318278397
0,84,6.9279014046366125
0,85,6.813819565580855
0,86,6.7320351515626005
0,87,6.537307474972221
0,88,6.354253273861674
0,89,6.2136080790889645
0,90,6.077869692427605
0,91,5.886055847403288
0,92,5.6236966661993835
0,93,5.066236535376773
0,94,4.893273431281829
0,95,4.6234118803386925
0,96,4.30898332889958
0,97,3.9145796334542116
0,98,3.6037742464914007
0,99,3.5656456651023256
0,100,3.798021393639887
0,101,4.040233915496465
0,102,4.315325473883641
0,103,4.091886075222725
0,104,3.9110869955820937
0,105,3.6215966968960798
0,106,3.808443403975992
0,107,3.312393454818764
0,108,3.1358647709063083
0,109,2.990892432225805
0,110,2.7018043674649723
0,111,3.033438159324859
0,112,3.1614999252888736
0,113,3.3224374631511897
0,114,3.636574616054643
0,115,3.8164951127895765
0,116,3.922603444665515
0,117,4.09457080266879
0,118,4.1807075238937825
0,119,4.3279928918759785
0,120,4.021863381193785
0,121,3.7902711148359134
0,122,3.5249227065782
0,123,3.6759071503427565
0,124,3.941231070163103
0,125,4.30811512315909
0,126,4.517660566260689
0,127,4.827466994254665
0,128,5.134457850396475
0,129,5.63539891016331
0,130,5.823849943946373
0,131,6.038904212412665
0,132,6.192726887450275
0,133,6.431261072117702
0,134,6.54368623901374
0,135,6.723241720450859
0,136,6.826852196842576
0,137,7.0228370215554605
0,138,7.061002648477796
0,139,7.209450257497945
0,140,7.504619482755564
0,141,7.929458691589533
0,142,8.412625602059578
0,143,8.720391239793619
0,144,9.174555794114555
0,145,9.566051132009708
0,146,7.180201303745335
0,147,7.061002648477796
0,148,5.29618347665487
0,149,5.70138907260193
0,150,2.299891409057587
0,151,2.726531805552254
0,152,3.059710129442848
0,153,3.258578219949083
0,154,3.4114575978654047
0,155,6.049258977850372
0,156,6.041415263157865
0,157,6.065945735933881
0,158,6.088934947203061
0,159,6.122117293634846
0,160,6.493355722893034
0,161,6.515107776052084
0,162,6.500100753658406
0,163,6.4666190881178185
0,164,6.477200487347737
0,165,6.6801362741948696
0,166,6.979175469398544
0,167,7.293324477107923
0,168,7.471107798574043
0,169,7.330466512831199
0,170,7.134917476170302
0,171,7.009607523950747
0,172,6.667809509981378
0,173,6.5076441445761555
0,174,6.542473141721123
0,175,6.487417825859451
0,176,6.147461266292927
0,177,6.084460470435858
0,178,6.0320456510490725
0,179,6.057800555787427
0,180,3.446373434237451
0,181,3.273508246703852
0,182,3.0826045079975346
0,183,2.8766600857429117
0,184,2.72043190097685
0,185,8.589410953650267
0,186,8.251592731220946
0,187,7.999577397802922
0,188,7.710058424211399
0,189,7.341391876865623
0,190,7.048804985574516
0,191,6.681922747403038
0,192,6.115377087727813
0,193,3.5766621108887504
0,194,3.2511621162455726
0,195,3.0094741461907977
0,196,3.078473562795581
0,197,2.914605003828854
0,198,2.94691168458438
0,199,2.783277370206065
0,200,2.195865690560309
0,201,1.6730722626951073
0,202,2.7960282282923905
0,203,2.998697974970854
0,204,3.006252841976979
0,205,2.930135818666168
0,206,3.0770127525771795
0,207,2.934671600660358
0,208,3.2477554378929017
0,209,3.582285575677368
0,210,6.095483429124962
0,211,6.524325496403018
0,212,6.841835390037815
0,213,7.330466512831199
0,214,7.6698227887081245
0,215,7.996238304946859
0,216,8.256843948188692
0,217,5.373784630695547
0,218,5.476351788113018
0,219,5.0480366926046925
0,220,4.655125173402243
0,221,4.630898859368555
0,222,4.6267850337213705
0,223,4.373434414620551
0,224,4.207223687481221
0,225,4.150967607292548
0,226,4.025161000315651
0,227,3.8207200417522675
0,228,2.9422327786089233
0,229,2.7301366659311035
0,230,2.6966378260638413
0,231,2.9406087786269866
0,232,3.791549928811147
0,233,4.016370245396095
0,234,4.20383722660563
0,235,4.221630629430146
0,236,4.395843588099299
0,237,4.524603608728354
0,238,4.619445134230778
0,239,4.5978672939836684
0,240,4.975275390686456
0,241,5.469487122294624
0,242,5.410109505684415
0,243,5.363725126114331
0,244,1.9079908237415433
0,245,1.7446930924012756
0,246,1.5709030342533696
0,247,1.3169493664080199
0,248,1.0628511409256172
0,249,1.1393720105986274
0,250,1.54001472604695
0,251,1.7510671524769177
0,252,2.134303532778532
0,253,2.302200158385522
1,2,0.500280306461718
1,3,0.779836003238348
1,4,0.9832003193140367
1,5,1.2451586467251738
1,6,1.5697591199924479
1,7,1.737217252047034
1,8,1.78053618488351
1,9,2.0100672442652123
1,10,2.296729196710008
1,11,2.538686770610874
1,12,2.355669076724912
1,13,2.697958945158983
1,14,2.8953839159587362
1,15,3.315556770164063
1,16,3.742844582936345
1,17,4.180814586044484
1,18,4.392481588170922
1,19,4.744918059317084
1,20,5.147240434992621
1,21,5.946477603752292
1,22,6.307733239883989
1,23,6.613266602315556
1,24,6.782499694300802
1,25,7.059673015239605
1,26,7.3703115840700795
1,27,7.559884629268353
1,28,7.817741872185186
1,29,8.224922509656308
1,30,8.17151442790128
1,31,8.054449524091698
1,32,7.906608919917887
1,33,8.080814293523028
1,34,8.379312975323064
1,35,8.58282929754347
1,36,8.937783775049406
1,37,8.65663353901238
1,38,8.19532601385337
1,39,7.7716225968696575
1,40,7.458884568631296
1,41,7.348981637519579
1,42,7.012286915754758
1,43,6.778059572911217
1,44,6.585201088249692
1,45,6.270293118361183
1,46,5.903948550152109
1,47,5.401955192198107
1,48,5.081523315552661
1,49,4.72017501254484
1,50,4.327224509630581
1,51,4.214329556675095
1,52,3.8107192927527276
1,53,3.4201116261383047
1,54,2.902302570111193
1,55,2.6989577798907285
